city,rtcc_year,relative_time,coefficient,std_error,p_value,significant_05,n_obs,pre_trend_F,pre_trend_p
Chicago,2016,-2,-0.018086291536344962,0.04906270006110829,0.7232952979311655,False,11,0.13589271142629145,0.7232952979311655
Chicago,2016,0,-0.17333850406409915,0.04906270006110829,0.009559242680984315,True,11,0.13589271142629145,0.7232952979311655
Chicago,2016,1,-0.23150244242231705,0.04906270006110829,0.00216132142010837,True,11,0.13589271142629145,0.7232952979311655
St. Louis,2014,-2,0.011469461234884662,0.04931898339993184,0.8253251177384529,False,11,0.05408263010759092,0.8253251177384527
St. Louis,2014,0,-0.13585196733654395,0.04931898339993184,0.04009272350919865,True,11,0.05408263010759092,0.8253251177384527
St. Louis,2014,1,-0.1926396017451461,0.049318983399931834,0.011340631490825762,True,11,0.05408263010759092,0.8253251177384527
St. Louis,2014,2,-0.18039983967696935,0.049318983399931834,0.014628222683755174,True,11,0.05408263010759092,0.8253251177384527
St. Louis,2014,3,-0.22527028416822717,0.04931898339993184,0.006014950348709642,True,11,0.05408263010759092,0.8253251177384527
Miami,2015,-2,-0.057043423354163264,0.08578493205029425,0.5307903343513608,False,11,0.4421698627714753,0.5307903343513608
Miami,2015,0,0.007703424001379619,0.08578493205029426,0.9313693404569925,False,11,0.4421698627714753,0.5307903343513608
Miami,2015,1,-0.19656688196384148,0.08578493205029426,0.06182592264545157,False,11,0.4421698627714753,0.5307903343513608
Miami,2015,2,-0.2338550175570617,0.08578493205029426,0.03436512935779782,True,11,0.4421698627714753,0.5307903343513608
New Orleans,2017,-2,-0.08141516393092213,0.09102709379861042,0.4008104281420867,False,10,0.7999617995362109,0.4008104281420869
New Orleans,2017,0,-0.10241282679975054,0.09102709379861042,0.29764728783906014,False,10,0.7999617995362109,0.4008104281420869
