specification,intercept,time_coeff,level_change,trend_change,level_change_se,level_change_p,r_squared,n_obs,city,rtcc_year
Pooled ITS: 15 cities,4.428050707608904,0.0022199156830072786,-0.1783943154401363,0.06470193840997499,0.34523573411702496,0.6057497660884916,0.02385368910072483,285,,
Pooled ITS + City FE: 15 cities,4.086204905402082,-0.014344727569736366,-0.09166643467755212,0.03372405882805317,0.1722308732546571,0.5950093226630351,0.7738513968246638,285,,
ITS: Albuquerque,3.69509007263675,-0.027128803293246715,0.023966418633341265,0.11906568761958958,0.23206406505146257,0.9191128152514253,0.7793365430005236,19,Albuquerque,2013.0
ITS: Baltimore,5.267519512977917,-0.051581697197844334,0.4016402541659829,0.02685225919963958,0.2705166408133038,0.15832934408315197,0.1573459546552145,19,Baltimore,2013.0
ITS: Chicago,6.085640029507044,-0.006153730941499652,0.4062364254906633,-0.04738961512954963,0.15444986964847404,0.018924391981987213,0.4419452729605433,19,Chicago,2016.0
ITS: Dallas,4.9468632537037,-0.013961750839069781,0.5370079803578924,-0.04282797594928429,0.13674610268808235,0.0013449803223244462,0.5774580810738262,19,Dallas,2019.0
ITS: Denver,4.0494006825540145,0.04227508208641075,0.5138768748993959,-0.11526170202779755,0.21315995711701663,0.029204065732016466,0.6947121668057492,19,Denver,2019.0
ITS: Detroit,5.687663643229947,-0.0254413744706846,0.08562360268354137,-0.01945946843573039,0.129840428455434,0.5196021731794732,0.6267831855576751,19,Detroit,2016.0
ITS: Fresno,3.779407226535443,-0.0043884281890358276,0.11759371848115388,-0.017868699719476258,0.30067819257989714,0.7012261254908709,0.03689140412142733,19,Fresno,2015.0
ITS: Hartford,3.150914521573805,-0.03502201128771778,0.03691407972238336,0.042603144883685135,0.31875869955192904,0.9093426574445602,0.06914495150210664,19,Hartford,2016.0
ITS: Miami,-1.23766087187375e-15,-1.2283243418630738e-16,-0.9194414887256834,0.4298557961415617,0.7371465196557352,0.2314117606892381,0.7562602056668707,19,Miami,2015.0
ITS: New Orleans,5.111394880611442,0.004527987132606717,0.46665365624919014,-0.8398266071647744,0.9196570607136315,0.6192378124348209,0.8424444222123287,19,New Orleans,2017.0
ITS: Newark,4.572782123794953,0.008416256568117697,-0.28216484929720287,-0.09702335337038222,0.12646549963490292,0.04135616649100903,0.8551937781196268,19,Newark,2018.0
ITS: Philadelphia,5.664819256813094,-0.04550040450219715,0.01356625353253816,0.06598358316926352,0.3090068726981896,0.9655610298915727,0.09944248676110279,19,Philadelphia,2012.0
ITS: St. Louis,4.69379372880819,-0.05083784958536175,0.553236953967271,0.036370126221400616,0.11994250730047692,0.00033847826054385783,0.6654518306840743,19,St. Louis,2014.0
Pre/Post means: Albuquerque,3.7900408841631115,,0.4806369130650352,,0.1316771779540978,0.016103347701135227,,19,Albuquerque,2013.0
Pre/Post means: Baltimore,5.448055453170369,,0.0727276859843009,,0.09504070333494964,0.5733478831890909,,19,Baltimore,2013.0
Pre/Post means: Chicago,6.1164086842145355,,0.1345227134634479,,0.08566412046961647,0.15222405897141136,,19,Chicago,2016.0
Pre/Post means: Dallas,5.037614634157654,,0.2758874195388765,,0.08483616521180164,0.0023989862032514995,,19,Dallas,2019.0
Pre/Post means: Denver,3.7746126489923424,,0.5697050486369055,,0.13347320205047622,0.00032663281524928614,,19,Denver,2019.0
Pre/Post means: Detroit,5.814870515583363,,-0.24363706274874453,,0.07597727912651782,0.00639026615158364,,19,Detroit,2016.0
Pre/Post means: Fresno,3.7991551533861028,,-0.013439847912068092,,0.12201323278842359,0.9240931714444475,,19,Fresno,2015.0
Pre/Post means: Hartford,3.32602457801239,,-0.10408087553434875,,0.1448836251332349,0.49851732462928466,,19,Hartford,2016.0
Pre/Post means: Miami,0.0,,1.229837491982124,,0.5146394793336296,0.0592273585753543,,19,Miami,2015.0
Pre/Post means: New Orleans,5.086490951382106,,-2.849636894650143,,0.8881220781263592,0.0034796259388169518,,19,New Orleans,2017.0
Pre/Post means: Newark,4.522284584386248,,-0.5417921486964254,,0.09640312136176,1.221606126662332e-05,,19,Newark,2018.0
Pre/Post means: Philadelphia,5.801320470319686,,0.010205701361873487,,0.09133728334108492,0.9413867389283422,,19,Philadelphia,2012.0
Pre/Post means: St. Louis,4.897145127149633,,0.2703130771240412,,0.06685132617655563,0.0006447625550750297,,19,St. Louis,2014.0
