specification,intercept,time_coeff,level_change,trend_change,level_change_se,level_change_p,r_squared,n_obs
ITS: Full sample (2007-2017),0.5054356465945047,0.0051140192719775065,-0.10920031150737004,0.008321337026208206,0.07968380362819955,0.17583665145106964,0.04135872419447473,62
ITS: Albuquerque,0.7287058225273331,0.014492753623188439,-0.11923396105547142,-0.027300834431269322,0.14458115230742322,0.4558882397237531,0.48857695037769655,8
ITS: Chicago,0.2446830105945712,-0.014087351038849586,-0.10089216092136855,-0.044076587319368275,0.02708566240007876,0.007407924245443217,0.9593466826977625,11
ITS: Fresno,0.8768114938283005,0.0395415858651154,-0.1704622874790942,-0.18423023055375998,0.08325005074189015,0.07981334420883303,0.8152500158231333,11
ITS: Miami,0.3223313491213215,-0.0231984978925488,0.09139673070845308,-0.09758072288667184,0.06957937507906221,0.23040721193554942,0.7942615477677665,11
ITS: St. Louis,0.5723089256883882,0.007142115972429441,-0.17534510331953482,-0.03274363481511639,0.0448137422444772,0.005802849097013073,0.9024848569729327,11
ITS: Unweighted,0.5054356465945047,0.0051140192719775065,-0.10920031150737004,0.008321337026208206,0.07968380362819955,0.17583665145106964,0.04135872419447473,62
ITS: Homicide-weighted (WLS),0.276966517564097,-0.012255562764969946,-0.14073129845206978,0.05052089546240558,0.03654206633067246,0.0002959277681199425,0.7962829953794328,62
ITS: Equal-weight per city,0.5277287967510168,0.008482635258765456,-0.10927601567836766,0.010937523694326833,0.07855329614385294,0.16950670212324806,0.2918638636816858,62
Linear: clearance_rate,0.5054356465945047,0.0051140192719775065,-0.10920031150737004,0.008321337026208206,0.07968380362819955,0.17583665145106964,0.04135872419447473,62
Logit: log(p/(1-p)),0.05349683690481629,0.02550509871112342,-0.5684478860583209,0.046792829886000795,0.36270525000526915,0.12249765826187393,0.053709850521905134,62
Arcsine-sqrt: asin(sqrt(p)),0.7943048033828319,0.005673328417945669,-0.12352078512641751,0.009736707695009674,0.0845147075382506,0.1492670470226819,0.04691201634647768,62
