model,feature,importance
logistic,state_fe_te,4.318589868686903
logistic,region_West,0.7069878348578799
logistic,region_Midwest,0.6703207930261313
logistic,region_Northeast,0.6498741065670983
logistic,region_South,0.5731497941031152
logistic,homicide_count,0.16059266623103674
logistic,population,0.1459760746281841
logistic,years_since_rtcc,0.0
random_forest,population,0.36303302779998636
random_forest,state_fe_te,0.334157059759036
random_forest,homicide_count,0.23279065453398404
random_forest,region_Midwest,0.027861855342783296
random_forest,region_South,0.0249347730868512
random_forest,region_West,0.009764460829038391
random_forest,region_Northeast,0.007458168648320746
random_forest,years_since_rtcc,0.0
xgboost,state_fe_te,0.16701765358448029
xgboost,region_Northeast,0.16195856034755707
xgboost,region_South,0.1548898071050644
xgboost,region_Midwest,0.1524161994457245
xgboost,population,0.12624600529670715
xgboost,region_West,0.11895208060741425
xgboost,homicide_count,0.11851968616247177
xgboost,years_since_rtcc,0.0
