url,source,title
https://www.tandfonline.com/doi/abs/10.1080/24751979.2025.2475515,Google Scholar,An Extended ImpactEvaluationofReal-Time Crime Center(RTCC) Technologies on ViolentCrimeOutcomes
https://www.tandfonline.com/doi/abs/10.1080/07418825.2023.2264362,Google Scholar,… deployment of information to police improvecrimesolvability? A quasi-experimental impactevaluationofreal-time crime center(RTCC) technologies on violentcrime…
https://read-me.org/s/1-s20-S0047235223001162-main.pdf,Google Scholar,Doreal-time crime centersimprove case clearance? An examination of Chicago's strategic decision supportcenters
https://journals.sagepub.com/doi/abs/10.1177/0032258X221107587,Google Scholar,The centralization and rapid deployment of police agency information technologies: Anappraisalofreal-time crime centersin the US
https://stars.library.ucf.edu/cgi/viewcontent.cgi?article=2243&context=etd2020,Google Scholar,Law enforcement motivations for establishingreal-time crime centers: A mixed model study
https://yidawang.ca/pdf/rand.pdf,Google Scholar,[PDF][PDF]Real time crime centersin chicago
https://digitalcommons.fiu.edu/record/14169/files/FIDC01117.pdf,Google Scholar,"Real-Time Crime Centersas Frontiers of Technology in Policing: Configurations, Functions, and Their Impact on Police Practices and Public Perceptions"
https://link.springer.com/article/10.1007/s12103-010-9080-4,Google Scholar,Evaluationofefficiencyincrimecontrol andcrimeprevention programs
https://www.mdpi.com/2076-3417/14/15/6581,Google Scholar,[HTML][HTML]Evaluatingintelligent CPTED systems to supportcrimeprevention decision-making in municipal controlcenters
https://journals.sagepub.com/doi/abs/10.1177/0032258X261436634,Google Scholar,Evolving technologies in law enforcement: Documenting the continued growth ofreal-time crime centers
